"","x"
"1","SPRY2"
"2","COL25A1"
"3","SCARA5"
"4","VEGFD"
"5","CA4"
"6","CD300LG"
"7","RBMS2"
"8","ADCYAP1R1"
"9","EGFLAM"
"10","GPIHBP1"
"11","PDE2A"
"12","ADAMTS5"
"13","CAV1"
"14","TNXB"
"15","DMD"
"16","FAM110D"
"17","BTNL9"
"18","ITIH5"
"19","ANXA1"
"20","ANGPT4"
"21","ASPA"
"22","GSN"
"23","SCN4B"
"24","EBF1"
"25","CCDC178"
"26","S100B"
"27","TNS1"
"28","RBMS3"
"29","ATOH8"
"30","LDB2"
"31","FHL1"
"32","CLEC3B"
"33","FAM107A"
"34","PLAC9"
"35","VIT"
"36","HEPACAM"
"37","LHFPL6"
"38","TMEM132C"
"39","RBP7"
"40","HIF3A"
"41","NPR1"
"42","DPYSL2"
"43","ARHGAP20"
"44","MAOA"
"45","MAMDC2"
"46","CFD"
"47","AL031777.3"
"48","LINC02202"
"49","LYVE1"
"50","GPR146"
"51","ITGA7"
"52","HIST1H2BD"
"53","HIST1H2BF"
"54","LRRN4CL"
"55","C1QTNF9"
"56","AQP1"
"57","CAVIN2"
"58","ADH1C"
"59","LINC01697"
"60","PLSCR4"
"61","LIMS2"
"62","GNG11"
"63","AP001528.3"
"64","TTLL10-AS1"
"65","GIPC2"
"66","SPTBN1"
"67","AOC3"
"68","SIK2"
"69","PALMD"
"70","PGM5"
"71","LEP"
"72","SLC2A4"
"73","JAM2"
"74","METTL7A"
"75","CRYAB"
"76","SEMA3G"
"77","AP001528.2"
"78","MTURN"
"79","PPARG"
"80","CAV2"
"81","FAXDC2"
"82","AQP7"
"83","CD34"
"84","AC004241.5"
"85","DENND2A"
"86","RYR3"
"87","SORBS1"
"88","PQLC2L"
"89","EPAS1"
"90","CLDN5"
"91","CD36"
"92","CPS1"
"93","KL"
"94","TNMD"
"95","SRPX"
"96","MIR497HG"
"97","LMOD1"
"98","PI16"
"99","HSPB6"
"100","AP000892.3"
"101","PREX2"
"102","PHYHIP"
"103","GPD1"
"104","HIST2H2BD"
"105","LINC00639"
"106","PPP1R14A"
"107","EDNRB"
"108","AL133384.2"
"109","AVPR2"
"110","LGI4"
"111","C2orf40"
"112","NRN1"
"113","SLIT3"
"114","DDR2"
"115","DPP6"
"116","ABCA8"
"117","CSRNP1"
"118","TBX15"
"119","SCN4A"
"120","ADAMTS9-AS2"
"121","TSHZ2"
"122","TGFBR2"
"123","SH3BGRL2"
"124","KLF15"
"125","CAVIN1"
"126","FAM126A"
"127","CDO1"
"128","GPX3"
"129","DIPK2B"
"130","FABP4"
"131","ENPP2"
"132","CIDEA"
"133","CYYR1"
"134","TPO"
"135","KCNB1"
"136","ACACB"
"137","TIMP4"
"138","IQSEC3"
"139","SOX17"
"140","ADRA1A"
"141","CCL14"
"142","EBF2"
"143","ALDH1A2"
"144","SH3D19"
"145","CXCL2"
"146","ARHGEF15"
"147","MEDAG"
"148","APOB"
"149","PXDC1"
"150","LINC02511"
"151","PID1"
"152","CNTNAP3P2"
"153","LMX1A"
"154","PCK1"
"155","RASIP1"
"156","MT1L"
"157","LIFR"
"158","TRARG1"
"159","FXYD1"
"160","PGM5P4-AS1"
"161","KLF4"
"162","EBF3"
"163","ATP1A2"
"164","DLC1"
"165","NUP210"
"166","ERG"
"167","ATP1B2"
"168","ABCA9"
"169","MYOM1"
"170","SNX1"
"171","PDE7B"
"172","LPL"
"173","AKAP12"
"174","EEPD1"
"175","HSPB7"
"176","C14orf180"
"177","ABCA10"
"178","GGTA1P"
"179","SHE"
"180","GRK5"
"181","BMP2"
"182","CAPN11"
"183","CIDEC"
"184","ALDH1L1"
"185","FREM1"
"186","ELANE"
"187","CABP1"
"188","ANGPTL1"
"189","PLIN1"
"190","SYN2"
"191","MYOC"
"192","KIAA0408"
"193","SVEP1"
"194","CAT"
"195","SPRY1"
"196","TINAGL1"
"197","FAM13C"
"198","CNTNAP3B"
"199","IL33"
"200","ABCA6"
"201","GSTM5"
"202","FGF2"
"203","KCNIP2"
"204","TTC28"
"205","PEAR1"
"206","SYNE3"
"207","RAPGEF3"
"208","JADE1"
"209","GLYAT"
"210","MOCS1"
"211","TRHDE-AS1"
