"Pathway","PathwaySize","Overlap","PValue","AdjP"
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_UP",146,113,8.8057086388374e-12,7.04456691106992e-10
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_30H_UP",184,127,1.25287723278801e-07,5.01150893115202e-06
"GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_DN",188,123,1.36364446991645e-05,0.000363638525311054
"GSE14308_TH17_VS_NATURAL_TREG_DN",186,119,8.25746366884878e-05,0.00155402540229835
"GSE14308_TH1_VS_TH17_UP",190,121,9.71265876436469e-05,0.00155402540229835
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_UP",184,117,0.000137793365023957,0.00183724486698609
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_UP",188,118,0.00028163792090251,0.00321871909602869
"GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_DN",192,120,0.000322493258863798,0.00322493258863798
"GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN",184,115,0.000424377528518963,0.00377224469794633
"GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP",184,114,0.000720566190910408,0.00576452952728327
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP",188,115,0.00133468246707012,0.00868879059975826
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP",186,114,0.00126479242979104,0.00868879059975826
"GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_UP",181,111,0.00141192847246072,0.00868879059975826
"GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN",185,113,0.001571585309755,0.00898048748431426
"GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_DN",107,69,0.00176695261645331,0.00916103753825013
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN",184,112,0.00194672047687815,0.00916103753825013
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_42H_DN",184,112,0.00194672047687815,0.00916103753825013
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_DN",190,115,0.00225461545348865,0.0100205131266162
"GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_DN",184,111,0.00309884935550311,0.0130477867600131
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_DN",185,111,0.00396371790526674,0.015854871621067
"GSE26030_TH1_VS_TH17_DAY15_POST_POLARIZATION_DN",194,115,0.00587578436855703,0.0203350934992353
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP",172,103,0.00581645441355942,0.0203350934992353
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP",185,110,0.00610052804977058,0.0203350934992353
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP",183,109,0.00586651270460292,0.0203350934992353
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_10H_DN",178,106,0.0065739771222645,0.0210367267912464
"GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_DN",170,101,0.00859016127568762,0.0264312654636542
"GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_UP",165,98,0.00963404511950585,0.0285453188726099
"GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP",146,87,0.0125950412363761,0.0319304608386016
"GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN",175,103,0.0115498012159008,0.0319304608386016
"GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP",157,93,0.0125965797070935,0.0319304608386016
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_UP",190,111,0.0121374076876611,0.0319304608386016
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_42H_UP",194,113,0.0128997441061783,0.0319304608386016
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_DN",183,107,0.0131713150959232,0.0319304608386016
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_DN",177,103,0.0175600534214049,0.0413177727562469
"GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_UP",168,98,0.0185221735694163,0.0423363967300944
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP",187,108,0.0202113194223575,0.0449140431607943
"GSE9316_CD4_TCELL_BALBC_VS_TH17_ENRI_CD4_TCELL_SKG_PMA_IONO_STIM_FR4NEG_UP",180,104,0.0220058952861444,0.0475803141322042
"GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP",188,108,0.0244001910178766,0.0513688231955296
"GSE11924_TH2_VS_TH17_CD4_TCELL_UP",179,103,0.0259328129098024,0.0531955136611332
"GSE14308_TH2_VS_TH17_UP",195,111,0.03128817749207,0.06257635498414
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP",188,107,0.0341312000882518,0.0664212261528736
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_10H_UP",190,108,0.0348711437302587,0.0664212261528736
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN",194,110,0.0363542553211386,0.0674493495027215
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_DN",196,111,0.0370971422264968,0.0674493495027215
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_DN",191,108,0.0412918864119283,0.0734077980656502
"GSE11924_TFH_VS_TH17_CD4_TCELL_DN",186,105,0.045958841718939,0.0799284203807636
"GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN",138,79,0.0530592410804879,0.0903136018391283
"GSE14308_TH17_VS_INDUCED_TREG_DN",186,104,0.0620590040455423,0.101593472106313
"GSE32901_TH17_EMRICHED_VS_TH17_NEG_CD4_TCELL_DN",169,95,0.062226001665117,0.101593472106313
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_DN",192,107,0.0650986359612132,0.104157817537941
"GSE11924_TH1_VS_TH17_CD4_TCELL_DN",187,103,0.0946163257012311,0.148417765805853
